hour,oaid,os,item_names,brand,sw,sh,req_id,key,,request_uri
12,A2F73C9138ADB8AF4E717F8D8439F713DCEB05FF8BADC0726C964FE47439C3FE,Android_11,"真人秀,竞技",OnePlus,2297,1080,ZKjodfCkHQlZ6kL4,A2F73C9138ADB8AF4E717F8D8439F713DCEB05FF8BADC0726C964FE47439C3FE,1,/mango.htm
18,,,其他,apple,1290,2796,ZKk5_on4rAlpiA25,A2F986FC-A7B2-41C9-A17D-DC3B2E93164A,1,/mango.htm
12,A2FB6CA2184B4CC594EC4D4B6D2519F0d1697c136edae77140f39280b6d7879a,android_10,"宫廷,古装,言情,芒果出品",OPPO,720,1456,ZKjrojNAXglq68e3,A2FB6CA2184B4CC594EC4D4B6D2519F0d1697c136edae77140f39280b6d7879a,1,/mango.htm
20,,,"青春,校园",Xiaomi,,,ZKlT6zDlHwlbuMC0,a305adf369af171bf9503ee95882de42,1,/mango.htm
21,,9,"古装,武侠,剧情,芒果出品",XGIMI,,,ZKlhLqNL4glr8fv2,a30cd6501ba338ef4a3ea51c17ce9cc8,1,/mango.htm
22,A30D5DC264744AD99FAB88ADA6CBE4D47c318c5032e657f6093689f4ada4725f,Android_13,"剧情,都市,芒果出品",OPPO,1080,2305,ZKlx1LVOSgkDS1O3,A30D5DC264744AD99FAB88ADA6CBE4D47c318c5032e657f6093689f4ada4725f,1,/mango.htm
20,,,其他,alps,,,ZKlYIXxF2QlUwZW8,a30efbd30d22da43d71d46b9de49cc70,1,/mango.htm
13,,11,"芒果出品,青春,网剧,爱情,偶像",TCL,,,ZKjwFLVOSgkDsL47,a310eccfca5c7b1a12941e63581ae673,1,/mango.htm
18,,,其他,HONOR,1080,1806,ZKk6szDlHwlbmT80,a313e368f000ba1bbbb81558b3bab72d,1,/mango.htm
18,,,其他,Xiaomi,,,ZKlAvCEqaQk_fOP2,a316e6374c8cc18c8d3aa8d927cbac33,1,/mango.htm
16,a31943074e1eae5c,Android_13,"爱情,奇幻",Xiaomi,2560,1564,ZKkgAhIkWQlpsim5,a31943074e1eae5c,1,/mango.htm
13,,,"芒果出品,悬疑,犯罪",apple,2048,1536,ZKj4oos1jAlsW_j2,a31a3bf15b69dccfefae48b24319a48c8dc9cf09,1,/mango.htm
12,,,"古装,爱情,芒果出品",Allwinner,,,ZKjp-Z_HQmDqz3q2,a31a7a541e3ed80de689a9449f0b2fcd,1,/mango.htm
16,,,"都市,职场",Android,,,ZKkjB7xPiW6O7rl8,a31e88abce0345136fe8888d247f82a0,1,/mango.htm
23,,Android_13,"剧情,家庭",HONOR,2351,1122,ZKmC5fSimAljnWI9,a31f4e0b-db5c-46dc-a9a0-470abf3091cf,1,/mango.htm
18,,,"青春,校园",alps,,,ZKk24zSmkAk0hpT3,a327ae757043ec78f608afa45ef56f95,1,/mango.htm
15,,,"爱情,悬疑,犯罪",apple,2048,1536,ZKkPzRJ-KAkqCf69,a32943f241fc5435cad58de9f1b3ae767b1030be,1,/mango.htm
22,,,"真人秀,音乐",OPPO,1080,2264,ZKl2AddNnglBtwt8,a32cfec6f0c1e544f37464d0d2ac8434,1,/mango.htm
11,,,"警匪,悬疑,都市",apple,1284,2778,ZKjUiDDlHwlbJnD5,A32D48A5-9189-4C13-8930-0E360AD8BEF7,1,/mango.htm
