"date","hour","interval_start","count"
"2023-07-16",1,50.0,13266
"2023-07-16",2,0.0,28340
"2023-07-16",2,10.0,13176
"2023-07-16",2,20.0,11035
"2023-07-16",2,30.0,10648
"2023-07-16",2,40.0,9799
"2023-07-16",2,50.0,9596
"2023-07-16",3,0.0,22111
"2023-07-16",3,10.0,9027
"2023-07-16",3,20.0,8227
"2023-07-16",3,30.0,8434
"2023-07-16",3,40.0,7772
"2023-07-16",3,50.0,7737
"2023-07-16",4,0.0,18858
"2023-07-16",4,10.0,7683
"2023-07-16",4,20.0,7600
"2023-07-16",4,30.0,7382
"2023-07-16",4,40.0,7498
"2023-07-16",4,50.0,7414
"2023-07-16",5,0.0,21261
"2023-07-16",5,10.0,7907
"2023-07-16",5,20.0,8666
"2023-07-16",5,30.0,8793
"2023-07-16",5,40.0,9015
"2023-07-16",5,50.0,9937
"2023-07-16",6,0.0,24595
"2023-07-16",6,10.0,20340
"2023-07-16",6,20.0,12914
"2023-07-16",6,30.0,13228
"2023-07-16",6,40.0,14698
"2023-07-16",6,50.0,15991
"2023-07-16",7,0.0,34993
"2023-07-16",7,10.0,29879
"2023-07-16",7,20.0,26505
"2023-07-16",7,30.0,19582
"2023-07-16",7,40.0,20097
"2023-07-16",7,50.0,21347
"2023-07-16",8,0.0,42775
"2023-07-16",8,10.0,33745
"2023-07-16",8,20.0,38130
"2023-07-16",8,30.0,32726
"2023-07-16",8,40.0,29390
"2023-07-16",8,50.0,29628
"2023-07-16",9,0.0,52179
"2023-07-16",9,10.0,37082
"2023-07-16",9,20.0,37763
"2023-07-16",9,30.0,48518
"2023-07-16",9,40.0,37776
"2023-07-16",9,50.0,36997
"2023-07-16",10,0.0,55742
"2023-07-16",10,10.0,50133
"2023-07-16",10,20.0,43282
"2023-07-16",10,30.0,47665
"2023-07-16",10,40.0,64258
"2023-07-16",10,50.0,50197
"2023-07-16",11,0.0,62810
"2023-07-16",11,10.0,48560
"2023-07-16",11,20.0,50241
"2023-07-16",11,30.0,55815
"2023-07-16",11,40.0,66351
"2023-07-16",11,50.0,76208
"2023-07-16",12,0.0,76755
"2023-07-16",12,10.0,69005
"2023-07-16",12,20.0,62944
"2023-07-16",12,30.0,59438
"2023-07-16",12,40.0,55253
"2023-07-16",12,50.0,60263
"2023-07-16",13,0.0,66107
"2023-07-16",13,10.0,56291
"2023-07-16",13,20.0,51469
"2023-07-16",13,30.0,48533
"2023-07-16",13,40.0,44623
"2023-07-16",13,50.0,69720
"2023-07-16",14,0.0,60343
"2023-07-16",14,10.0,51086
"2023-07-16",14,20.0,44817
"2023-07-16",14,30.0,42498
"2023-07-16",14,40.0,51083
"2023-07-16",14,50.0,50583
"2023-07-16",15,0.0,52690
"2023-07-16",15,10.0,49770
"2023-07-16",15,20.0,46579
"2023-07-16",15,30.0,46983
"2023-07-16",15,40.0,48324
"2023-07-16",15,50.0,47639
"2023-07-16",16,0.0,58702
"2023-07-16",16,10.0,50176
"2023-07-16",16,20.0,46109
"2023-07-16",16,30.0,42126
"2023-07-16",16,40.0,50895
"2023-07-16",16,50.0,64680
"2023-07-16",17,0.0,64693
"2023-07-16",17,10.0,65532
"2023-07-16",17,20.0,65475
"2023-07-16",17,30.0,81085
"2023-07-16",17,40.0,96562
"2023-07-16",17,50.0,95224
"2023-07-16",18,0.0,86087
"2023-07-16",18,10.0,73758
"2023-07-16",18,20.0,67120
"2023-07-16",18,30.0,62881
"2023-07-16",18,40.0,62060
"2023-07-16",18,50.0,123055
"2023-07-16",19,0.0,70428
"2023-07-16",19,10.0,58961
"2023-07-16",19,20.0,62631
"2023-07-16",19,30.0,61253
"2023-07-16",19,40.0,63985
"2023-07-16",19,50.0,106380
"2023-07-16",20,0.0,70417
"2023-07-16",20,10.0,50906
"2023-07-16",20,20.0,53704
"2023-07-16",20,30.0,50899
"2023-07-16",20,40.0,54351
"2023-07-16",20,50.0,101159
"2023-07-16",21,0.0,52176
"2023-07-16",21,10.0,40807
"2023-07-16",21,20.0,41964
"2023-07-16",21,30.0,38635
"2023-07-16",21,40.0,48708
"2023-07-16",21,50.0,69381
"2023-07-16",22,0.0,31728
"2023-07-16",22,10.0,23618
"2023-07-16",22,20.0,26166
"2023-07-16",22,30.0,33224
"2023-07-16",22,40.0,49680
"2023-07-16",22,50.0,58714
"2023-07-16",23,0.0,19076
"2023-07-16",23,10.0,7512
"2023-07-16",23,20.0,7044
"2023-07-16",23,30.0,5891
"2023-07-16",23,40.0,4893
"2023-07-16",23,50.0,4288
"2023-07-17",0,0.0,59435
"2023-07-17",0,10.0,41244
"2023-07-17",0,20.0,38834
"2023-07-17",0,30.0,31361
"2023-07-17",0,40.0,23753
"2023-07-17",0,50.0,21345
"2023-07-17",1,0.0,33814
"2023-07-17",1,10.0,32849
"2023-07-17",1,20.0,18064
"2023-07-17",1,30.0,16112
"2023-07-17",1,40.0,14576
"2023-07-17",1,50.0,14238
"2023-07-17",2,0.0,26875
"2023-07-17",2,10.0,18030
"2023-07-17",2,20.0,12448
"2023-07-17",2,30.0,12050
"2023-07-17",2,40.0,11221
"2023-07-17",2,50.0,10475
"2023-07-17",3,0.0,23455
"2023-07-17",3,10.0,10616
"2023-07-17",3,20.0,9649
"2023-07-17",3,30.0,9286
"2023-07-17",3,40.0,8877
"2023-07-17",3,50.0,8564
"2023-07-17",4,0.0,19871
"2023-07-17",4,10.0,8938
"2023-07-17",4,20.0,8663
"2023-07-17",4,30.0,8543
"2023-07-17",4,40.0,8227
"2023-07-17",4,50.0,8439
"2023-07-17",5,0.0,20722
"2023-07-17",5,10.0,9128
"2023-07-17",5,20.0,9017
"2023-07-17",5,30.0,9855
"2023-07-17",5,40.0,9907
"2023-07-17",5,50.0,11119
"2023-07-17",6,0.0,25858
"2023-07-17",6,10.0,18577
"2023-07-17",6,20.0,13242
"2023-07-17",6,30.0,14403
"2023-07-17",6,40.0,14787
"2023-07-17",6,50.0,15673
"2023-07-17",7,0.0,35057
"2023-07-17",7,10.0,27059
"2023-07-17",7,20.0,30526
"2023-07-17",7,30.0,22369
"2023-07-17",7,40.0,23268
"2023-07-17",7,50.0,25062
"2023-07-17",8,0.0,44898
"2023-07-17",8,10.0,36382
"2023-07-17",8,20.0,38426
"2023-07-17",8,30.0,40703
"2023-07-17",8,40.0,31328
"2023-07-17",8,50.0,33396
"2023-07-17",9,0.0,56301
"2023-07-17",9,10.0,47819
"2023-07-17",9,20.0,43877
"2023-07-17",9,30.0,54278
"2023-07-17",9,40.0,39774
"2023-07-17",9,50.0,38222
"2023-07-17",10,0.0,57557
"2023-07-17",10,10.0,50331
"2023-07-17",10,20.0,44212
"2023-07-17",10,30.0,46145
"2023-07-17",10,40.0,61168
"2023-07-17",10,50.0,51345
"2023-07-17",11,0.0,57755
"2023-07-17",11,10.0,52726
"2023-07-17",11,20.0,51858
"2023-07-17",11,30.0,48192
"2023-07-17",11,40.0,49551
"2023-07-17",11,50.0,63034
"2023-07-17",12,0.0,61650
"2023-07-17",12,10.0,52907
"2023-07-17",12,20.0,55472
"2023-07-17",12,30.0,56920
"2023-07-17",12,40.0,54868
"2023-07-17",12,50.0,47658
"2023-07-17",13,0.0,50878
"2023-07-17",13,10.0,47082
"2023-07-17",13,20.0,52647
"2023-07-17",13,30.0,50227
"2023-07-17",13,40.0,49760
"2023-07-17",13,50.0,47890
"2023-07-17",14,0.0,54244
"2023-07-17",14,10.0,52310
"2023-07-17",14,20.0,44396
"2023-07-17",14,30.0,48742
"2023-07-17",14,40.0,105834
"2023-07-17",14,50.0,59923
"2023-07-17",15,0.0,50887
"2023-07-17",15,10.0,49240
"2023-07-17",15,20.0,46622
"2023-07-17",15,30.0,46389
"2023-07-17",15,40.0,84792
"2023-07-17",15,50.0,49394
"2023-07-17",16,0.0,59492
"2023-07-17",16,10.0,52771
"2023-07-17",16,20.0,48902
"2023-07-17",16,30.0,54963
"2023-07-17",16,40.0,52971
"2023-07-17",16,50.0,45865
"2023-07-17",17,0.0,61506
"2023-07-17",17,10.0,54493
"2023-07-17",17,20.0,53073
"2023-07-17",17,30.0,63834
"2023-07-17",17,40.0,204642
"2023-07-17",17,50.0,204899
"2023-07-17",18,0.0,68472
"2023-07-17",18,10.0,51287
"2023-07-17",18,20.0,52433
"2023-07-17",18,30.0,52595
