timestamp,exposure
2023/7/17 18:50,115649
2023/7/17 19:00,67427
2023/7/17 19:10,55266
2023/7/17 19:20,50276
2023/7/17 19:30,49492
2023/7/17 19:40,55927
2023/7/17 19:50,54758
2023/7/17 20:00,56410
2023/7/17 20:10,48783
2023/7/17 20:20,47392
2023/7/17 20:30,42812
2023/7/17 20:40,47426
2023/7/17 20:50,46415
2023/7/17 21:00,44744
2023/7/17 21:10,43871
2023/7/17 21:20,43823
2023/7/17 21:30,53479
2023/7/17 21:40,61076
2023/7/17 21:50,60299
2023/7/17 22:00,29830
2023/7/17 22:10,34010
2023/7/17 22:20,46185
2023/7/17 22:30,32800
2023/7/17 22:40,25873
2023/7/17 22:50,31455
2023/7/17 23:00,28635
2023/7/17 23:10,31356
2023/7/17 23:20,39311
2023/7/17 23:30,41842
2023/7/17 23:40,6590
2023/7/17 23:50,6789
2023/7/18 0:00,49095
2023/7/18 0:10,38196
2023/7/18 0:20,32568
2023/7/18 0:30,30055
2023/7/18 0:40,29404
2023/7/18 0:50,25147
2023/7/18 1:00,27929
2023/7/18 1:10,28531
2023/7/18 1:20,16096
2023/7/18 1:30,13519
2023/7/18 1:40,13342
2023/7/18 1:50,12879
2023/7/18 2:00,22116
2023/7/18 2:10,18870
2023/7/18 2:20,11281
2023/7/18 2:30,10694
2023/7/18 2:40,10147
2023/7/18 2:50,9827
2023/7/18 3:00,18705
2023/7/18 3:10,12307
2023/7/18 3:20,9132
2023/7/18 3:30,8676
2023/7/18 3:40,8557
2023/7/18 3:50,8303
2023/7/18 4:00,17829
2023/7/18 4:10,9158
2023/7/18 4:20,8101
2023/7/18 4:30,7867
2023/7/18 4:40,7971
2023/7/18 4:50,7759
2023/7/18 5:00,17401
2023/7/18 5:10,10782
2023/7/18 5:20,8409
2023/7/18 5:30,8879
2023/7/18 5:40,8736
2023/7/18 5:50,9379
2023/7/18 6:00,21199
2023/7/18 6:10,20894
2023/7/18 6:20,11823
2023/7/18 6:30,12117
2023/7/18 6:40,13038
2023/7/18 6:50,14364
2023/7/18 7:00,29201
2023/7/18 7:10,25927
2023/7/18 7:20,30319
2023/7/18 7:30,20699
2023/7/18 7:40,22178
2023/7/18 7:50,23111
2023/7/18 8:00,37690
2023/7/18 8:10,32440
2023/7/18 8:20,34008
2023/7/18 8:30,37322
2023/7/18 8:40,27380
2023/7/18 8:50,29846
2023/7/18 9:00,49763
2023/7/18 9:10,41219
2023/7/18 9:20,40006
2023/7/18 9:30,51839
2023/7/18 9:40,41047
2023/7/18 9:50,36738
2023/7/18 10:00,51140
2023/7/18 10:10,45274
2023/7/18 10:20,47703
2023/7/18 10:30,46502
2023/7/18 10:40,42684
2023/7/18 10:50,42304
2023/7/18 11:00,50340
2023/7/18 11:10,44161
2023/7/18 11:20,45995
2023/7/18 11:30,47275
2023/7/18 11:40,50533
2023/7/18 11:50,45938
2023/7/18 12:00,59409
2023/7/18 12:10,54372
2023/7/18 12:20,55666
2023/7/18 12:30,59247
2023/7/18 12:40,79139
2023/7/18 12:50,87152
2023/7/18 13:00,90488
2023/7/18 13:10,81769
2023/7/18 13:20,77619
2023/7/18 13:30,65366
2023/7/18 13:40,58871
2023/7/18 13:50,57489
2023/7/18 14:00,84934
2023/7/18 14:10,72391
2023/7/18 14:20,65794
2023/7/18 14:30,52661
2023/7/18 14:40,51134
2023/7/18 14:50,53459
2023/7/18 15:00,78691
2023/7/18 15:10,64709
2023/7/18 15:20,40887
2023/7/18 15:30,38619
2023/7/18 15:40,40625
2023/7/18 15:50,40947
2023/7/18 16:00,52430
2023/7/18 16:10,40923
2023/7/18 16:20,42957
2023/7/18 16:30,45698
2023/7/18 16:40,53979
2023/7/18 16:50,44281
2023/7/18 17:00,57879
2023/7/18 17:10,63684
2023/7/18 17:20,65821
2023/7/18 17:30,69598
2023/7/18 17:40,88425
2023/7/18 17:50,94732
2023/7/18 18:00,101964
2023/7/18 18:10,104274
2023/7/18 18:20,109453
2023/7/18 18:30,112560
2023/7/18 18:40,124072
2023/7/18 18:50,129492
2023/7/18 19:00,79907
2023/7/18 19:10,72397
2023/7/18 19:20,73328
2023/7/18 19:30,72701
2023/7/18 19:40,78384
2023/7/18 19:50,104863
2023/7/18 20:00,67919
2023/7/18 20:10,52305
2023/7/18 20:20,50609
2023/7/18 20:30,49681
2023/7/18 20:40,49771
2023/7/18 20:50,55725
2023/7/18 21:00,49259
2023/7/18 21:10,40513
2023/7/18 21:20,42571
2023/7/18 21:30,39784
2023/7/18 21:40,48686
2023/7/18 21:50,46119
2023/7/18 22:00,30188
2023/7/18 22:10,28864
2023/7/18 22:20,30614
2023/7/18 22:30,25761
2023/7/18 22:40,13659
2023/7/18 22:50,318
2023/7/18 23:00,24851
2023/7/18 23:10,11005
2023/7/18 23:20,11106
2023/7/18 23:30,7699
2023/7/18 23:40,6987
2023/7/18 23:50,6539
2023/7/19 0:00,31332
2023/7/19 0:10,29115
2023/7/19 0:20,27837
2023/7/19 0:30,29624
2023/7/19 0:40,18757
2023/7/19 0:50,14350
2023/7/19 1:00,25198
2023/7/19 1:10,19214
2023/7/19 1:20,13948
2023/7/19 1:30,10818
2023/7/19 1:40,10272
2023/7/19 1:50,9368
2023/7/19 2:00,20600
2023/7/19 2:10,11928
2023/7/19 2:20,8377
2023/7/19 2:30,8070
2023/7/19 2:40,8040
2023/7/19 2:50,7473
2023/7/19 3:00,16856
2023/7/19 3:10,8221
2023/7/19 3:20,6950
2023/7/19 3:30,6651
2023/7/19 3:40,6522
2023/7/19 3:50,6458
2023/7/19 4:00,15290
2023/7/19 4:10,7373
2023/7/19 4:20,6061
2023/7/19 4:30,6011
2023/7/19 4:40,6268
2023/7/19 4:50,6135
2023/7/19 5:00,15870
2023/7/19 5:10,7189
2023/7/19 5:20,6318
2023/7/19 5:30,7069
2023/7/19 5:40,6888
2023/7/19 5:50,7084
2023/7/19 6:00,20464
2023/7/19 6:10,14784
2023/7/19 6:20,8863
2023/7/19 6:30,9196
2023/7/19 6:40,9515
2023/7/19 6:50,10445
2023/7/19 7:00,27019
2023/7/19 7:10,23596
2023/7/19 7:20,22097
2023/7/19 7:30,15931
2023/7/19 7:40,17983
2023/7/19 7:50,16645
2023/7/19 8:00,35018
2023/7/19 8:10,28993
2023/7/19 8:20,27798
2023/7/19 8:30,28880
2023/7/19 8:40,23625
2023/7/19 8:50,23791
2023/7/19 9:00,42487
2023/7/19 9:10,37486
2023/7/19 9:20,35368
2023/7/19 9:30,33878
2023/7/19 9:40,34402
2023/7/19 9:50,29605
2023/7/19 10:00,49130
2023/7/19 10:10,45242
2023/7/19 10:20,43814
2023/7/19 10:30,43762
2023/7/19 10:40,58959
2023/7/19 10:50,43092
2023/7/19 11:00,58550
2023/7/19 11:10,50562
2023/7/19 11:20,50385
2023/7/19 11:30,50068
2023/7/19 11:40,47084
2023/7/19 11:50,64796
2023/7/19 12:00,68733
2023/7/19 12:10,61998
2023/7/19 12:20,62283
2023/7/19 12:30,61672
2023/7/19 12:40,58822
2023/7/19 12:50,79902
2023/7/19 13:00,67447
2023/7/19 13:10,50995
2023/7/19 13:20,43940
2023/7/19 13:30,43316
2023/7/19 13:40,57367
2023/7/19 13:50,81441
2023/7/19 14:00,47577
2023/7/19 14:10,40255
2023/7/19 14:20,42473
2023/7/19 14:30,43705
2023/7/19 14:40,48613
2023/7/19 14:50,86851
2023/7/19 15:00,59513
2023/7/19 15:10,53612
2023/7/19 15:20,56522
2023/7/19 15:30,56661
2023/7/19 15:40,55394
2023/7/19 15:50,65057
2023/7/19 16:00,65137
2023/7/19 16:10,58524
2023/7/19 16:20,71931
2023/7/19 16:30,72653
2023/7/19 16:40,112289
2023/7/19 16:50,88263
2023/7/19 17:00,68671
2023/7/19 17:10,62743
2023/7/19 17:20,73259
2023/7/19 17:30,76730
2023/7/19 17:40,94550
2023/7/19 17:50,80411
2023/7/19 18:00,120884
2023/7/19 18:10,114206
2023/7/19 18:20,110516
2023/7/19 18:30,104359
2023/7/19 18:40,92621
2023/7/19 18:50,85494
2023/7/19 19:00,92729
2023/7/19 19:10,86936
2023/7/19 19:20,85707
2023/7/19 19:30,78822
2023/7/19 19:40,92792
2023/7/19 19:50,104375
2023/7/19 20:00,77028
2023/7/19 20:10,61909
2023/7/19 20:20,60143
2023/7/19 20:30,58434
2023/7/19 20:40,57501
2023/7/19 20:50,59679
2023/7/19 21:00,55691
2023/7/19 21:10,50108
2023/7/19 21:20,48335
2023/7/19 21:30,46681
2023/7/19 21:40,44713
2023/7/19 21:50,41729
2023/7/19 22:00,32222
2023/7/19 22:10,27290
2023/7/19 22:20,25899
2023/7/19 22:30,27797
2023/7/19 22:40,26812
2023/7/19 22:50,27199
2023/7/19 23:00,23625
2023/7/19 23:10,11208
2023/7/19 23:20,11451
2023/7/19 23:30,10502
2023/7/19 23:40,9042
2023/7/19 23:50,8192
