hour,oaid,os,item_names,brand,sw,sh,,
8,49acad7bb86578bf,Android_10,其他,Xiaomi,2201,1080,,
8,,,"爱情,都市,家庭",apple,2224,1668,,
8,,10,"爱情,都市,家庭",Sony,,,,
9,,,"爱情,都市",apple,2388,1668,,
9,,,"战争,剧情",Android,,,,
9,,,"战争,剧情",HONOR,1200,1920,,
9,,,"芒果出品,爱情,古装",Skyworth,,,,
9,5f77499f4870a1ca,Android_11,"都市,爱情,剧情",Xiaomi,2265,1034,,
6,83F8C91B4DD94F1D8AA2A4412A7C4B586b5127f284b859fadcd6691549a6deaa,Android_10,"亲子,芒果出品,真人秀",OPPO,2208,1080,,
6,F236E5B3F1F045BFA78E8DBC6BACEA0F2927a87931b40f17c79d28fdef78991d,Android_11,其他,OPPO,2150,1080,,
6,,9,"年代,剧情",TCL,,,,
7,,,"真人秀,芒果出品",Xiaodu,,,,
7,,,"音乐,芒果出品",MStar,,,,
8,,,其他,himedia,,,,
9,,9,其他,Allwinner,,,,
9,,Android_10,"爱情,都市",HUAWEI,1412,720,,
9,,Android_10,"爱情,都市,家庭",HONOR,1080,2340,,
9,,,"明星,真人秀,音乐,芒果出品",apple,1125,2436,,
0,,9,"都市,爱情,芒果出品",xiaomi,,,,
0,,,"芒果出品,爱情,古装",apple,1170,2532,,
0,,,"战争,剧情",apple,2208,1242,,
1,,,"亲子,明星,真人秀,教育,芒果出品",Xiaomi,,,,
1,d1bcc10d0330f3a234dc69e8c7e7257d919e4c126b4709d3a27893691c816ed3,Android_11,"芒果出品,悬疑,犯罪",vivo,1080,2320,,
2,,,其他,SHARP,,,,
6,,,"芒果出品,爱情,古装",Siviton,,,,
7,,,"芒果出品,校园,网剧,青春,偶像,爱情",haier,,,,
7,,,"明星,真人秀,芒果出品",ChangHong,,,,
7,,9,其他,OPPO,,,,
8,,android_10,"都市,爱情,剧情",HUAWEI,1080,1797,,
9,7A02DAC069F6452A84FDAC674EB98D25a1e8a3be0093f45499fa74290007cfbc,Android_10,"青春,校园",OPPO,720,1544,,
2,ba1ec2feff4fd39cc6ed590ce0cc8da6ef4c95f19cb004dcb87a36522bf66032,Android_11,"真人秀,美食,明星",vivo,1080,2342,,
9,,9,"爱情,都市,家庭",hisense,,,,
9,,,"战争,剧情",Xiaomi,,,,
9,,10,"剧情,喜剧,爱情,家庭",Skyworth,,,,
9,,,"剧情,爱情,芒果出品,都市",970x,,,,
0,,,"剧情,喜剧,爱情,家庭",apple,1242,2208,,
