hour,oaid,os,item_names,brand,sw,sh,req_id,key
13,,Android_12,其他,HONOR,1080,2184,ZKjxyuhm0wlkml87,81c4e999-495a-4503-843b-2d0b37825a63
15,a6eb38c6069e4fc2,Android_12,其他,Xiaomi,1080,2206,ZKkKovSimAljEbZ2,a6eb38c6069e4fc2
10,6946A1D49F874357B76029995CA8519F4ba11de27cf2b5d45dea2787cea8aa40,Android_11,其他,OPPO,2293,1080,ZKjKMJL5zDM8_OC8,6946A1D49F874357B76029995CA8519F4ba11de27cf2b5d45dea2787cea8aa40
11,DCED7794DB6E1F18E3BD840536DC85E8659E08238D307EED62023883ACD8D916,Android_11,"剧情,爱情,芒果出品",OnePlus,1080,2287,ZKjUFi_xbm9h8LI2,DCED7794DB6E1F18E3BD840536DC85E8659E08238D307EED62023883ACD8D916
16,,Android_9,"都市,校园,家庭",HUAWEI,1080,2148,ZKkeFgx3jGQUvkd8,e9f5ee9f-d5be-3a2d-e5fe-37edb7af3baa
11,,,"都市,爱情",apple,1125,2436,ZKjc62-z1Akxwp60,ca6b62e8e1d9da20853224449e953d3de90ec298
13,,,"爱情,都市,家庭",apple,2688,1242,ZKj6QJ_HQmDq4S62,cac6b812773dbc37d322b306d34442912eedab84
12,85A10BB58695422DB4A62EBAEC194BE254ae4bcfda49dc2a32cdf85ba5cdd3ad,Android,"纪实,生活,真人秀",OPPO,2264,1080,ZKjrum-joAlE7jv4,85A10BB58695422DB4A62EBAEC194BE254ae4bcfda49dc2a32cdf85ba5cdd3ad
13,175b7b4b9ba6a61ce70a2fe24970672fd6f0176dc04ebd1c724bbb2cd5daf073,Android_10,"战争,剧情",vivo,1080,2115,ZKj6CXbTGAl4hQ54,175b7b4b9ba6a61ce70a2fe24970672fd6f0176dc04ebd1c724bbb2cd5daf073
11,,Android_10,"芒果出品,网剧,都市,爱情",HONOR,1080,2259,ZKjcSnxF2QlUMZU7,75655bc0-719b-4a23-b843-c8f547a054b3
11,70e7c1f5c1454f721f8c5fa6d2ffa58a72ba151f58abfd6039c36e0560dcb3bb,Android_9,"音乐,竞技",vivo,1488,720,ZKjX1PSimAlj2be4,70e7c1f5c1454f721f8c5fa6d2ffa58a72ba151f58abfd6039c36e0560dcb3bb
10,,,"情感,旅游,真人秀,芒果出品",apple,2048,1536,ZKjNOnK6qlOV5N47,AE74EE6B-FC64-40FB-9472-AF8C436DB732
12,593F33AE8DBF42938F969A4D6CCC6C1D31306c9fac6e393f95132530a2c649ac,Android_10,"古装,青春",realme,1080,2290,ZKjp3efIIAk9zHc0,593F33AE8DBF42938F969A4D6CCC6C1D31306c9fac6e393f95132530a2c649ac
16,e2d53d03468094e004917bc823c7115198f13ed6c0784d387d1aba406a803d30,Android_11,其他,vivo,1080,2216,ZKkZoSBTwAl5ryk2,e2d53d03468094e004917bc823c7115198f13ed6c0784d387d1aba406a803d30
